nomAttribuant,nomBénéficiaire,montant,nature,objet,montant_reuse,datepublication,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,conditionsVersement,datesPériodeVersement,idRAE,notificationUE,pourcentageSubvention,date_deb,date_fin,objet_reuse
BORDEAUX METROPOLE,ENTR'AUTRES,20000,aide en numéraire,"Appel à Projets 
Emploi et Quartier",Inférieur à 30 000€,44943,24330031600011.0,44897,2022/717,80041897200025.0,unique,2022-12-02/2023-06-02,sans objet,non,1.00,44897,,Autre objet
BORDEAUX METROPOLE,LA CRAVATE SOLIDAIRE,28500,aide en numéraire,"Appel à Projets 
Emploi et Quartier",Inférieur à 30 000€,44943,24330031600011.0,44896,2022/717,84779999600016.0,unique,2022-12-01/2023-06-01,sans objet,non,1.00,44896,,Autre objet
BORDEAUX METROPOLE,ADSI TECHNOWEST,25000,aide en numéraire,Programme d'actions 2022-2023,Inférieur à 30 000€,44943,24330031600011.0,44904,2022/473,43403882400042.0,échelonné,2022-12-09/2023-06-09,sans objet,non,1.00,44904,,Autre objet
BORDEAUX METROPOLE,SOLIHA,20000,aide en numéraire,Plateforme Louer Clé en Main,Inférieur à 30 000€,44943,24330031600011.0,44903,2022/777,49052081400032.0,échelonné,2022-12-08/2023-06-08,sans objet,non,1.00,44903,,Autre objet
BORDEAUX METROPOLE,PEP 33,130900,aide en numéraire,Soutien sensibilisation à la citoyenneté et environnement,Entre 100 000€ et 500 000€,44943,24330031600011.0,44811,2022/425,78185055700088.0,échelonné,2022-09-07/2023-03-07,sans objet,non,1.00,44811,,Autre objet
BORDEAUX METROPOLE,MVT FRANCAIS PLANNING FAMILIAL,8900,aide en numéraire,Investissement ESS,Inférieur à 30 000€,43853,24330031600000.0,43816,2019/616,31611221800100.0,échelonné,2019-12-17/2020-06-17,sans objet,non,1.00,43816,,Autre objet
BORDEAUX METROPOLE,AQUITEC,21000,aide en numéraire,Salon AQUITEC,Inférieur à 30 000€,43887,24330031600000.0,43857,2019/755,39061052500000.0,échelonné,2020-01-27/2020-07-27,sans objet,non,1.00,43857,,Autre objet
BORDEAUX METROPOLE,MUSIQUES DE NUIT DIFFUSION,25000,aide en numéraire,Festival Hauts de garonne,Inférieur à 30 000€,43929,24330031600000.0,43881,2020/65,34169319000000.0,échelonné,2020-02-20/2020-08-20,sans objet,non,1.00,43881,,Autre objet
BORDEAUX METROPOLE,AMANIEU DE BOULIAC,6500,aide en numéraire,Les médiévales de Bouliac,Inférieur à 30 000€,43984,24330031600000.0,43927,2020/65,42283936500000.0,échelonné,2020-04-06/2020-10-06,sans objet,non,1.00,43927,,Autre objet
BORDEAUX METROPOLE,ELECTRICIENS SANS FRONTIERES AQUITAINE,35000,aide en numéraire,AP international solidarité eau BENIN BONOU,Entre 30 000€ et 100 000€,44166,24330031600000.0,43881,2020/134,39452889700000.0,unique,2020-02-20/2020-08-20,sans objet,non,1.00,43881,,Autre objet
